Sensor0,Sensor1,Sensor2,Sensor3,Sensor4
502,492,495,397,512
513,501,493,453,510
498,490,494,511,495
498,490,495,591,482
504,490,498,639,484
484,492,494,639,498
475,493,495,620,493
508,499,494,529,483
519,505,491,432,482
520,501,494,391,488
518,494,488,364,480
471,487,483,363,477
444,484,486,376,483
466,490,489,412,485
473,488,491,476,488
483,493,494,543,491
481,497,495,621,493
493,494,494,640,490
493,490,492,634,488
505,491,495,584,489
508,495,495,480,489
509,496,495,410,487
502,495,494,373,487
505,493,495,363,486
478,493,497,375,488
481,500,498,391,486
500,502,489,444,490
508,496,491,505,492
504,490,492,576,490
505,487,489,637,487
